"source_code","target_code","target_system","target_display"
"FNC40","0213","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"FNC50","0213","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"FNC60","0213","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"DF019","02C0","ICD10-PCS","Coronary Artery, One Artery (myocardial infarction related procedure)"
"DF019","02C1","ICD10-PCS","Coronary Artery, Two Arteries (myocardial infarction related procedure)"
"DF019","02C2","ICD10-PCS","Coronary Artery, Three Arteries (myocardial infarction related procedure)"
"DF019","02C3","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"FNG02","0270","ICD10-PCS","Coronary Artery, One Artery (myocardial infarction related procedure)"
"FNG05","0270","ICD10-PCS","Coronary Artery, One Artery (myocardial infarction related procedure)"
"FNG02","0271","ICD10-PCS","Coronary Artery, Two Arteries (myocardial infarction related procedure)"
"FNG05","0271","ICD10-PCS","Coronary Artery, Two Arteries (myocardial infarction related procedure)"
"FNG02","0272","ICD10-PCS","Coronary Artery, Three Arteries (myocardial infarction related procedure)"
"FNG05","0272","ICD10-PCS","Coronary Artery, Three Arteries (myocardial infarction related procedure)"
"FNG02","0273","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"FNG05","0273","ICD10-PCS","Coronary Artery, Four or More Arteries (myocardial infarction related procedure)"
"FNW98","3E07","ICD10-PCS","Coronary Artery (myocardial infarction-related procedure)"
"ZXG05","5A12012","ICD10-PCS","Performance of Cardiac Output, Single, Manual"
"DF028","5A12012","ICD10-PCS","Performance of Cardiac Output, Single, Manual"
"DF035","5A12012","ICD10-PCS","Performance of Cardiac Output, Single, Manual"
"DF010","5A2204Z","ICD10-PCS","Restoration of Cardiac Rhythm, Single"
"DF025","5A2204Z","ICD10-PCS","Restoration of Cardiac Rhythm, Single"
"DF026","5A2204Z","ICD10-PCS","Restoration of Cardiac Rhythm, Single"
"DF027","5A2204Z","ICD10-PCS","Restoration of Cardiac Rhythm, Single"
"FMA20","027F","ICD10-PCS","Aortic Valve"
"FKA32","027G","ICD10-PCS","Mitral Valve"
"FJW96","027H","ICD10-PCS","Pulmonary Valve"
"FGW96","027J","ICD10-PCS","Tricuspid Valve"
"FMD00","02RF","ICD10-PCS","Aortic Valve"
"FMD10","02RF","ICD10-PCS","Aortic Valve"
"FMD12","02RF","ICD10-PCS","Aortic Valve"
"FMD13","02RF","ICD10-PCS","Aortic Valve"
"FKD00","02RG","ICD10-PCS","Mitral Valve"
"FKD10","02RG","ICD10-PCS","Mitral Valve"
"FJF00","02RH","ICD10-PCS","Pulmonary Valve"
"FJF10","02RH","ICD10-PCS","Pulmonary Valve"
"FJF12","02RH","ICD10-PCS","Pulmonary Valve"
"FGE00","02RJ","ICD10-PCS","Tricuspid Valve"
"FGE10","02RJ","ICD10-PCS","Tricuspid Valve"
"KAS10","0TY0","ICD10-PCS","Kidney, Right (transplant)"
"KAS11","0TY0","ICD10-PCS","Kidney, Right (transplant)"
"KAS20","0TY0","ICD10-PCS","Kidney, Right (transplant)"
"KAS21","0TY0","ICD10-PCS","Kidney, Right (transplant)"
"KAS10","0TY1","ICD10-PCS","Kidney, Left (transplant)"
"KAS11","0TY1","ICD10-PCS","Kidney, Left (transplant)"
"KAS20","0TY1","ICD10-PCS","Kidney, Left (transplant)"
"KAS21","0TY1","ICD10-PCS","Kidney, Left (transplant)"
