source_code,target_code,target_display,target_system
"Self-referred","self-transport","Self Transport","https://datatools4heart.eu/fhir/CodeSystem/encounter-transportation-type"
"Emergency Medical Services (EMS) Response Team","ems-transport","EMS Transport","https://datatools4heart.eu/fhir/CodeSystem/encounter-transportation-type"
