"source_code","unit"
"29463-7","kg"
"8302-2","cm"
"39156-5","kg/m2"
"8277-6","m2"
"8480-6","mmHg"
"8462-4","mmHg"
"2708-6","%"
"8867-4","bpm"
"34534-8",""
"8310-5","Cel"
"9279-1","{breaths}/min;{counts/min}"
"8280-0","cm"
"38208-5",""
"3150-0","%"
"35088-4",""
"60985-9","mm[Hg]"
"76535-4","cm[H2O]"
"76536-2","cm[H2O]"
"76534-7","cm[H2O]"
"59408-5","%"
"89270-3","kg/m2"
"8478-0","mm[Hg]"
"76213-8","mm[Hg]"
"76215-3","mm[Hg]"
"60982-6","mm[Hg]"
"60984-2","mm[Hg]"
