source_code,target_system,target_code
011.01,http://hl7.org/fhir/sid/icd-10,A15.0
011.02,http://hl7.org/fhir/sid/icd-10,A15.0
011.03,http://hl7.org/fhir/sid/icd-10,A15.0
011.04,http://hl7.org/fhir/sid/icd-10,A15.0
011.05,http://hl7.org/fhir/sid/icd-10,A15.0
011.06,http://hl7.org/fhir/sid/icd-10,A15.0
011.10,http://hl7.org/fhir/sid/icd-10,A15.0
011.11,http://hl7.org/fhir/sid/icd-10,A15.0
011.12,http://hl7.org/fhir/sid/icd-10,A15.0
011.13,http://hl7.org/fhir/sid/icd-10,A15.0
011.14,http://hl7.org/fhir/sid/icd-10,A15.0
011.15,http://hl7.org/fhir/sid/icd-10,A15.0
011.16,http://hl7.org/fhir/sid/icd-10,A15.0
011.20,http://hl7.org/fhir/sid/icd-10,A15.0
011.21,http://hl7.org/fhir/sid/icd-10,A15.0
011.22,http://hl7.org/fhir/sid/icd-10,A15.0
011.23,http://hl7.org/fhir/sid/icd-10,A15.0
011.24,http://hl7.org/fhir/sid/icd-10,A15.0
011.25,http://hl7.org/fhir/sid/icd-10,A15.0
011.26,http://hl7.org/fhir/sid/icd-10,A15.0
011.30,http://hl7.org/fhir/sid/icd-10,A15.5
011.31,http://hl7.org/fhir/sid/icd-10,A15.5
011.32,http://hl7.org/fhir/sid/icd-10,A15.5
011.33,http://hl7.org/fhir/sid/icd-10,A15.5
011.34,http://hl7.org/fhir/sid/icd-10,A15.5
011.35,http://hl7.org/fhir/sid/icd-10,A15.5
011.36,http://hl7.org/fhir/sid/icd-10,A15.5
011.40,http://hl7.org/fhir/sid/icd-10,A15.0
011.41,http://hl7.org/fhir/sid/icd-10,A15.0
011.42,http://hl7.org/fhir/sid/icd-10,A15.0
011.43,http://hl7.org/fhir/sid/icd-10,A15.0
011.44,http://hl7.org/fhir/sid/icd-10,A15.0
011.45,http://hl7.org/fhir/sid/icd-10,A15.0
011.46,http://hl7.org/fhir/sid/icd-10,A15.0
011.50,http://hl7.org/fhir/sid/icd-10,A15.0
011.51,http://hl7.org/fhir/sid/icd-10,A15.0
011.52,http://hl7.org/fhir/sid/icd-10,A15.0
011.53,http://hl7.org/fhir/sid/icd-10,A15.0
011.54,http://hl7.org/fhir/sid/icd-10,A15.0
011.55,http://hl7.org/fhir/sid/icd-10,A15.0
011.56,http://hl7.org/fhir/sid/icd-10,A15.0
011.60,http://hl7.org/fhir/sid/icd-10,A15.0
011.61,http://hl7.org/fhir/sid/icd-10,A15.0
011.62,http://hl7.org/fhir/sid/icd-10,A15.0
011.63,http://hl7.org/fhir/sid/icd-10,A15.0
011.64,http://hl7.org/fhir/sid/icd-10,A15.0
011.65,http://hl7.org/fhir/sid/icd-10,A15.0
011.66,http://hl7.org/fhir/sid/icd-10,A15.0
011.70,http://hl7.org/fhir/sid/icd-10,A15.0
011.71,http://hl7.org/fhir/sid/icd-10,A15.0
011.72,http://hl7.org/fhir/sid/icd-10,A15.0
011.73,http://hl7.org/fhir/sid/icd-10,A15.0
011.74,http://hl7.org/fhir/sid/icd-10,A15.0
011.75,http://hl7.org/fhir/sid/icd-10,A15.0
011.76,http://hl7.org/fhir/sid/icd-10,A15.0
011.80,http://hl7.org/fhir/sid/icd-10,A15.0
011.81,http://hl7.org/fhir/sid/icd-10,A15.0
011.82,http://hl7.org/fhir/sid/icd-10,A15.0
011.83,http://hl7.org/fhir/sid/icd-10,A15.0
011.84,http://hl7.org/fhir/sid/icd-10,A15.0
011.85,http://hl7.org/fhir/sid/icd-10,A15.0
011.86,http://hl7.org/fhir/sid/icd-10,A15.0
011.90,http://hl7.org/fhir/sid/icd-10,A15.0
011.91,http://hl7.org/fhir/sid/icd-10,A15.0
011.92,http://hl7.org/fhir/sid/icd-10,A15.0
011.93,http://hl7.org/fhir/sid/icd-10,A15.0
011.94,http://hl7.org/fhir/sid/icd-10,A15.0
011.95,http://hl7.org/fhir/sid/icd-10,A15.0
011.96,http://hl7.org/fhir/sid/icd-10,A15.0
012.00,http://hl7.org/fhir/sid/icd-10,A15.6
012.01,http://hl7.org/fhir/sid/icd-10,A15.6
012.02,http://hl7.org/fhir/sid/icd-10,A15.6
012.03,http://hl7.org/fhir/sid/icd-10,A15.6
012.04,http://hl7.org/fhir/sid/icd-10,A15.6
012.05,http://hl7.org/fhir/sid/icd-10,A15.6
012.06,http://hl7.org/fhir/sid/icd-10,A15.6
012.10,http://hl7.org/fhir/sid/icd-10,A15.4
012.11,http://hl7.org/fhir/sid/icd-10,A15.4
012.12,http://hl7.org/fhir/sid/icd-10,A15.4
012.13,http://hl7.org/fhir/sid/icd-10,A15.4
012.14,http://hl7.org/fhir/sid/icd-10,A15.4
012.15,http://hl7.org/fhir/sid/icd-10,A15.4
012.16,http://hl7.org/fhir/sid/icd-10,A15.4
012.20,http://hl7.org/fhir/sid/icd-10,A15.5
012.21,http://hl7.org/fhir/sid/icd-10,A15.5
012.22,http://hl7.org/fhir/sid/icd-10,A15.5
012.23,http://hl7.org/fhir/sid/icd-10,A15.5
012.24,http://hl7.org/fhir/sid/icd-10,A15.5
012.25,http://hl7.org/fhir/sid/icd-10,A15.5
012.26,http://hl7.org/fhir/sid/icd-10,A15.5
012.30,http://hl7.org/fhir/sid/icd-10,A15.5
012.31,http://hl7.org/fhir/sid/icd-10,A15.5
012.32,http://hl7.org/fhir/sid/icd-10,A15.5
012.33,http://hl7.org/fhir/sid/icd-10,A15.5
012.34,http://hl7.org/fhir/sid/icd-10,A15.5
012.35,http://hl7.org/fhir/sid/icd-10,A15.5
012.36,http://hl7.org/fhir/sid/icd-10,A15.5
012.80,http://hl7.org/fhir/sid/icd-10,A15.8
012.81,http://hl7.org/fhir/sid/icd-10,A15.8
012.82,http://hl7.org/fhir/sid/icd-10,A15.8
012.83,http://hl7.org/fhir/sid/icd-10,A15.8
012.84,http://hl7.org/fhir/sid/icd-10,A15.8
012.85,http://hl7.org/fhir/sid/icd-10,A15.8
012.86,http://hl7.org/fhir/sid/icd-10,A15.8
013.00,http://hl7.org/fhir/sid/icd-10,A17.0
013.01,http://hl7.org/fhir/sid/icd-10,A17.0
013.02,http://hl7.org/fhir/sid/icd-10,A17.0
013.03,http://hl7.org/fhir/sid/icd-10,A17.0
013.04,http://hl7.org/fhir/sid/icd-10,A17.0
013.05,http://hl7.org/fhir/sid/icd-10,A17.0
013.06,http://hl7.org/fhir/sid/icd-10,A17.0
013.10,http://hl7.org/fhir/sid/icd-10,A17.1
013.11,http://hl7.org/fhir/sid/icd-10,A17.1
013.12,http://hl7.org/fhir/sid/icd-10,A17.1
013.13,http://hl7.org/fhir/sid/icd-10,A17.1
013.14,http://hl7.org/fhir/sid/icd-10,A17.1
013.15,http://hl7.org/fhir/sid/icd-10,A17.1
013.16,http://hl7.org/fhir/sid/icd-10,A17.1
013.20,http://hl7.org/fhir/sid/icd-10,A17.81
013.21,http://hl7.org/fhir/sid/icd-10,A17.81
013.22,http://hl7.org/fhir/sid/icd-10,A17.81
013.23,http://hl7.org/fhir/sid/icd-10,A17.81
013.24,http://hl7.org/fhir/sid/icd-10,A17.81
013.25,http://hl7.org/fhir/sid/icd-10,A17.81
013.26,http://hl7.org/fhir/sid/icd-10,A17.81
013.30,http://hl7.org/fhir/sid/icd-10,A17.81
013.31,http://hl7.org/fhir/sid/icd-10,A17.81
013.32,http://hl7.org/fhir/sid/icd-10,A17.81
013.33,http://hl7.org/fhir/sid/icd-10,A17.81
013.34,http://hl7.org/fhir/sid/icd-10,A17.81
013.35,http://hl7.org/fhir/sid/icd-10,A17.81
013.36,http://hl7.org/fhir/sid/icd-10,A17.81
013.40,http://hl7.org/fhir/sid/icd-10,A17.81
013.41,http://hl7.org/fhir/sid/icd-10,A17.81
013.42,http://hl7.org/fhir/sid/icd-10,A17.81
013.43,http://hl7.org/fhir/sid/icd-10,A17.81
013.44,http://hl7.org/fhir/sid/icd-10,A17.81
013.45,http://hl7.org/fhir/sid/icd-10,A17.81
013.46,http://hl7.org/fhir/sid/icd-10,A17.81
013.50,http://hl7.org/fhir/sid/icd-10,A17.81
013.51,http://hl7.org/fhir/sid/icd-10,A17.81
013.52,http://hl7.org/fhir/sid/icd-10,A17.81
013.53,http://hl7.org/fhir/sid/icd-10,A17.81
013.54,http://hl7.org/fhir/sid/icd-10,A17.81
013.55,http://hl7.org/fhir/sid/icd-10,A17.81
013.56,http://hl7.org/fhir/sid/icd-10,A17.81
013.60,http://hl7.org/fhir/sid/icd-10,A17.82
013.61,http://hl7.org/fhir/sid/icd-10,A17.82
013.62,http://hl7.org/fhir/sid/icd-10,A17.82
013.63,http://hl7.org/fhir/sid/icd-10,A17.82
013.64,http://hl7.org/fhir/sid/icd-10,A17.82
013.65,http://hl7.org/fhir/sid/icd-10,A17.82
013.66,http://hl7.org/fhir/sid/icd-10,A17.82
013.80,http://hl7.org/fhir/sid/icd-10,A17.89
013.81,http://hl7.org/fhir/sid/icd-10,A17.89
013.82,http://hl7.org/fhir/sid/icd-10,A17.89
013.83,http://hl7.org/fhir/sid/icd-10,A17.89
013.84,http://hl7.org/fhir/sid/icd-10,A17.89
013.85,http://hl7.org/fhir/sid/icd-10,A17.89
013.86,http://hl7.org/fhir/sid/icd-10,A17.89
013.90,http://hl7.org/fhir/sid/icd-10,A17.9
013.91,http://hl7.org/fhir/sid/icd-10,A17.9
013.92,http://hl7.org/fhir/sid/icd-10,A17.9
013.93,http://hl7.org/fhir/sid/icd-10,A17.9
013.94,http://hl7.org/fhir/sid/icd-10,A17.9
013.95,http://hl7.org/fhir/sid/icd-10,A17.9
013.96,http://hl7.org/fhir/sid/icd-10,A17.9
014.00,http://hl7.org/fhir/sid/icd-10,A18.31
014.01,http://hl7.org/fhir/sid/icd-10,A18.31
014.02,http://hl7.org/fhir/sid/icd-10,A18.31
014.03,http://hl7.org/fhir/sid/icd-10,A18.31
014.04,http://hl7.org/fhir/sid/icd-10,A18.31
014.05,http://hl7.org/fhir/sid/icd-10,A18.31
014.06,http://hl7.org/fhir/sid/icd-10,A18.31
014.80,http://hl7.org/fhir/sid/icd-10,A18.32
014.80,http://hl7.org/fhir/sid/icd-10,A18.39
014.81,http://hl7.org/fhir/sid/icd-10,A18.32
014.81,http://hl7.org/fhir/sid/icd-10,A18.39
014.82,http://hl7.org/fhir/sid/icd-10,A18.32
014.82,http://hl7.org/fhir/sid/icd-10,A18.39
014.83,http://hl7.org/fhir/sid/icd-10,A18.32
014.83,http://hl7.org/fhir/sid/icd-10,A18.39
014.84,http://hl7.org/fhir/sid/icd-10,A18.32
014.84,http://hl7.org/fhir/sid/icd-10,A18.39
014.85,http://hl7.org/fhir/sid/icd-10,A18.32
014.85,http://hl7.org/fhir/sid/icd-10,A18.39
014.86,http://hl7.org/fhir/sid/icd-10,A18.32
014.86,http://hl7.org/fhir/sid/icd-10,A18.39
015.00,http://hl7.org/fhir/sid/icd-10,A18.01
015.01,http://hl7.org/fhir/sid/icd-10,A18.01
015.02,http://hl7.org/fhir/sid/icd-10,A18.01
015.03,http://hl7.org/fhir/sid/icd-10,A18.01
015.04,http://hl7.org/fhir/sid/icd-10,A18.01
015.05,http://hl7.org/fhir/sid/icd-10,A18.01
015.06,http://hl7.org/fhir/sid/icd-10,A18.01
015.10,http://hl7.org/fhir/sid/icd-10,A18.02
015.11,http://hl7.org/fhir/sid/icd-10,A18.02
015.12,http://hl7.org/fhir/sid/icd-10,A18.02
015.13,http://hl7.org/fhir/sid/icd-10,A18.02
015.14,http://hl7.org/fhir/sid/icd-10,A18.02
015.15,http://hl7.org/fhir/sid/icd-10,A18.02
015.16,http://hl7.org/fhir/sid/icd-10,A18.02
015.20,http://hl7.org/fhir/sid/icd-10,A18.02
015.21,http://hl7.org/fhir/sid/icd-10,A18.02
015.22,http://hl7.org/fhir/sid/icd-10,A18.02
015.23,http://hl7.org/fhir/sid/icd-10,A18.02
015.24,http://hl7.org/fhir/sid/icd-10,A18.02
015.25,http://hl7.org/fhir/sid/icd-10,A18.02
015.26,http://hl7.org/fhir/sid/icd-10,A18.02
015.50,http://hl7.org/fhir/sid/icd-10,A18.03
015.51,http://hl7.org/fhir/sid/icd-10,A18.03
015.52,http://hl7.org/fhir/sid/icd-10,A18.03
015.53,http://hl7.org/fhir/sid/icd-10,A18.03
015.54,http://hl7.org/fhir/sid/icd-10,A18.03
015.55,http://hl7.org/fhir/sid/icd-10,A18.03
015.56,http://hl7.org/fhir/sid/icd-10,A18.03
015.60,http://hl7.org/fhir/sid/icd-10,A18.03
015.61,http://hl7.org/fhir/sid/icd-10,A18.03
015.62,http://hl7.org/fhir/sid/icd-10,A18.03
015.63,http://hl7.org/fhir/sid/icd-10,A18.03
015.64,http://hl7.org/fhir/sid/icd-10,A18.03
015.65,http://hl7.org/fhir/sid/icd-10,A18.03
015.66,http://hl7.org/fhir/sid/icd-10,A18.03
015.70,http://hl7.org/fhir/sid/icd-10,A18.03
015.71,http://hl7.org/fhir/sid/icd-10,A18.03
015.72,http://hl7.org/fhir/sid/icd-10,A18.03
015.73,http://hl7.org/fhir/sid/icd-10,A18.03
015.74,http://hl7.org/fhir/sid/icd-10,A18.03
015.75,http://hl7.org/fhir/sid/icd-10,A18.03
015.76,http://hl7.org/fhir/sid/icd-10,A18.03
015.80,http://hl7.org/fhir/sid/icd-10,A18.02
015.81,http://hl7.org/fhir/sid/icd-10,A18.02
015.82,http://hl7.org/fhir/sid/icd-10,A18.02
015.83,http://hl7.org/fhir/sid/icd-10,A18.02
015.84,http://hl7.org/fhir/sid/icd-10,A18.02
015.85,http://hl7.org/fhir/sid/icd-10,A18.02
015.86,http://hl7.org/fhir/sid/icd-10,A18.02
015.90,http://hl7.org/fhir/sid/icd-10,A18.02
015.90,http://hl7.org/fhir/sid/icd-10,A18.03
015.91,http://hl7.org/fhir/sid/icd-10,A18.02
015.91,http://hl7.org/fhir/sid/icd-10,A18.03
015.92,http://hl7.org/fhir/sid/icd-10,A18.02
015.92,http://hl7.org/fhir/sid/icd-10,A18.03
015.93,http://hl7.org/fhir/sid/icd-10,A18.02
015.93,http://hl7.org/fhir/sid/icd-10,A18.03
015.94,http://hl7.org/fhir/sid/icd-10,A18.02
015.94,http://hl7.org/fhir/sid/icd-10,A18.03
015.95,http://hl7.org/fhir/sid/icd-10,A18.02
015.95,http://hl7.org/fhir/sid/icd-10,A18.03
015.96,http://hl7.org/fhir/sid/icd-10,A18.02
015.96,http://hl7.org/fhir/sid/icd-10,A18.03
016.00,http://hl7.org/fhir/sid/icd-10,A18.11
016.01,http://hl7.org/fhir/sid/icd-10,A18.11
016.02,http://hl7.org/fhir/sid/icd-10,A18.11
016.03,http://hl7.org/fhir/sid/icd-10,A18.11
016.04,http://hl7.org/fhir/sid/icd-10,A18.11
016.05,http://hl7.org/fhir/sid/icd-10,A18.11
016.06,http://hl7.org/fhir/sid/icd-10,A18.11
016.10,http://hl7.org/fhir/sid/icd-10,A18.12
016.11,http://hl7.org/fhir/sid/icd-10,A18.12
016.12,http://hl7.org/fhir/sid/icd-10,A18.12
016.13,http://hl7.org/fhir/sid/icd-10,A18.12
016.14,http://hl7.org/fhir/sid/icd-10,A18.12
016.15,http://hl7.org/fhir/sid/icd-10,A18.12
016.16,http://hl7.org/fhir/sid/icd-10,A18.12
016.20,http://hl7.org/fhir/sid/icd-10,A18.11
016.21,http://hl7.org/fhir/sid/icd-10,A18.11
016.22,http://hl7.org/fhir/sid/icd-10,A18.11
016.23,http://hl7.org/fhir/sid/icd-10,A18.11
016.24,http://hl7.org/fhir/sid/icd-10,A18.11
016.25,http://hl7.org/fhir/sid/icd-10,A18.11
016.26,http://hl7.org/fhir/sid/icd-10,A18.11
016.30,http://hl7.org/fhir/sid/icd-10,A18.13
016.31,http://hl7.org/fhir/sid/icd-10,A18.13
016.32,http://hl7.org/fhir/sid/icd-10,A18.13
016.33,http://hl7.org/fhir/sid/icd-10,A18.13
016.34,http://hl7.org/fhir/sid/icd-10,A18.13
016.35,http://hl7.org/fhir/sid/icd-10,A18.13
016.36,http://hl7.org/fhir/sid/icd-10,A18.13
016.40,http://hl7.org/fhir/sid/icd-10,A18.15
016.41,http://hl7.org/fhir/sid/icd-10,A18.15
016.42,http://hl7.org/fhir/sid/icd-10,A18.15
016.43,http://hl7.org/fhir/sid/icd-10,A18.15
016.44,http://hl7.org/fhir/sid/icd-10,A18.15
016.45,http://hl7.org/fhir/sid/icd-10,A18.15
016.46,http://hl7.org/fhir/sid/icd-10,A18.15
016.50,http://hl7.org/fhir/sid/icd-10,A18.14
