source_code,target_system,target_code
01105,http://hl7.org/fhir/sid/icd-10,A15.0
01106,http://hl7.org/fhir/sid/icd-10,A15.0
01110,http://hl7.org/fhir/sid/icd-10,A15.0
01111,http://hl7.org/fhir/sid/icd-10,A15.0
01112,http://hl7.org/fhir/sid/icd-10,A15.0
01113,http://hl7.org/fhir/sid/icd-10,A15.0
01114,http://hl7.org/fhir/sid/icd-10,A15.0
01115,http://hl7.org/fhir/sid/icd-10,A15.0
01116,http://hl7.org/fhir/sid/icd-10,A15.0
01120,http://hl7.org/fhir/sid/icd-10,A15.0
01121,http://hl7.org/fhir/sid/icd-10,A15.0
01122,http://hl7.org/fhir/sid/icd-10,A15.0
01123,http://hl7.org/fhir/sid/icd-10,A15.0
01124,http://hl7.org/fhir/sid/icd-10,A15.0
01125,http://hl7.org/fhir/sid/icd-10,A15.0
01126,http://hl7.org/fhir/sid/icd-10,A15.0
01130,http://hl7.org/fhir/sid/icd-10,A15.5
01131,http://hl7.org/fhir/sid/icd-10,A15.5
01132,http://hl7.org/fhir/sid/icd-10,A15.5
01133,http://hl7.org/fhir/sid/icd-10,A15.5
01134,http://hl7.org/fhir/sid/icd-10,A15.5
01135,http://hl7.org/fhir/sid/icd-10,A15.5
01136,http://hl7.org/fhir/sid/icd-10,A15.5
01140,http://hl7.org/fhir/sid/icd-10,A15.0
01141,http://hl7.org/fhir/sid/icd-10,A15.0
01142,http://hl7.org/fhir/sid/icd-10,A15.0
01143,http://hl7.org/fhir/sid/icd-10,A15.0
01144,http://hl7.org/fhir/sid/icd-10,A15.0
01145,http://hl7.org/fhir/sid/icd-10,A15.0
01146,http://hl7.org/fhir/sid/icd-10,A15.0
01150,http://hl7.org/fhir/sid/icd-10,A15.0
01151,http://hl7.org/fhir/sid/icd-10,A15.0
01152,http://hl7.org/fhir/sid/icd-10,A15.0
01153,http://hl7.org/fhir/sid/icd-10,A15.0
01154,http://hl7.org/fhir/sid/icd-10,A15.0
01155,http://hl7.org/fhir/sid/icd-10,A15.0
01156,http://hl7.org/fhir/sid/icd-10,A15.0
01160,http://hl7.org/fhir/sid/icd-10,A15.0
01161,http://hl7.org/fhir/sid/icd-10,A15.0
01162,http://hl7.org/fhir/sid/icd-10,A15.0
01163,http://hl7.org/fhir/sid/icd-10,A15.0
01164,http://hl7.org/fhir/sid/icd-10,A15.0
01165,http://hl7.org/fhir/sid/icd-10,A15.0
01166,http://hl7.org/fhir/sid/icd-10,A15.0
01170,http://hl7.org/fhir/sid/icd-10,A15.0
01171,http://hl7.org/fhir/sid/icd-10,A15.0
01172,http://hl7.org/fhir/sid/icd-10,A15.0
01173,http://hl7.org/fhir/sid/icd-10,A15.0
01174,http://hl7.org/fhir/sid/icd-10,A15.0
01175,http://hl7.org/fhir/sid/icd-10,A15.0
01176,http://hl7.org/fhir/sid/icd-10,A15.0
01180,http://hl7.org/fhir/sid/icd-10,A15.0
01181,http://hl7.org/fhir/sid/icd-10,A15.0
01182,http://hl7.org/fhir/sid/icd-10,A15.0
01183,http://hl7.org/fhir/sid/icd-10,A15.0
01184,http://hl7.org/fhir/sid/icd-10,A15.0
01185,http://hl7.org/fhir/sid/icd-10,A15.0
01186,http://hl7.org/fhir/sid/icd-10,A15.0
0119,http://hl7.org/fhir/sid/icd-10,A15.0
01190,http://hl7.org/fhir/sid/icd-10,A15.0
01191,http://hl7.org/fhir/sid/icd-10,A15.0
01192,http://hl7.org/fhir/sid/icd-10,A15.0
