source_code,target_code,target_display
"current-smoker","449868002","Current every day smoker"
"never-smoker","266919005","Never smoker"
"non-smoker","266919005","Never smoker"
"past-smoker","8517006","Former smoker"
"passive smoker","43381005","Passive smoker"
